Distinct;perp_race;n;n1;%;perp_race_norm;count
Brooklyn;Asian;2226;39802;0.0559;asian;612635
Brooklyn;BLACK;22337;39802;0.5612;black;402041
Brooklyn;Hispanic;9969;39802;0.2505;hispanic;667676
Brooklyn;Nonwhite;93;39802;0.0023;nonwhite;1804400
Brooklyn;WHITE;5177;39802;0.1301;white;588704
