Distinct;perp_race;n;n1;%;perp_race_norm;count
Queens;Asian;3975;28386;0.14;asian;196957
Queens;BLACK;10640;28386;0.3748;black;201964
Queens;Hispanic;11105;28386;0.3912;hispanic;427297
Queens;Nonwhite;161;28386;0.0057;nonwhite;889645
Queens;WHITE;2505;28386;0.0882;white;779482
