Distinct;perp_race;n;n1;X.;perp_race_norm;count;%%;%ofpop;indeks
Bronx;Asian;479;31375;0.0153;asian;54326;0.8817140963811066;1.9649601517395139;0.7786417442845046
Bronx;BLACK;14905;31375;0.4751;black;418455;3.561912272526317;15.135430554359944;3.1389923021591333
Bronx;Hispanic;14881;31375;0.4743;hispanic;823695;1.8066153127067663;29.792877299765834;1.591991250887768
Bronx;Nonwhite;74;31375;0.0024;nonwhite;1336118;0.005538432982715598;48.3271109233497;0.004966156581978538
Bronx;WHITE;1036;31375;0.033;white;132144;0.7839932195181014;4.779621070785008;0.6904313022157647
