Distinct;perp_race;n;n1;X.;perp_race_norm;count;%%;%ofpop;indeks
Staten Island;Asian;261;6045;0.0432;asian;51292;0.5088512828511269;7.541665747704432;0.5728177493566249
Staten Island;BLACK;2527;6045;0.418;black;44881;5.630444954435061;6.599031046220125;6.334263273991221
Staten Island;Hispanic;1512;6045;0.2501;hispanic;90748;1.666152422091947;13.343037574527838;1.8743857881165422
Staten Island;Nonwhite;37;6045;0.0061;nonwhite;199250;0.018569636135508154;29.29651603037722;0.02082158845671267
Staten Island;WHITE;1708;6045;0.2825;white;293944;0.5810630596304058;43.21974960117039;0.6536363644095473
