Distinct;perp_race;n;n1;%;perp_race_norm;count
Staten Island;Asian;261;6045;0.0432;asian;51292
Staten Island;BLACK;2527;6045;0.418;black;44881
Staten Island;Hispanic;1512;6045;0.2501;hispanic;90748
Staten Island;Nonwhite;37;6045;0.0061;nonwhite;199250
Staten Island;WHITE;1708;6045;0.2825;white;293944
