Distinct;perp_race;n;n1;X.;perp_race_norm;count;%%;%ofpop;indeks
Brooklyn;Asian;2226;39802;0.0559;asian;612635;0.36334848645604645;15.0323055873993;0.3718657771756429
Brooklyn;BLACK;22337;39802;0.5612;black;402041;5.555901015070602;9.864932905667487;5.688837474784911
Brooklyn;Hispanic;9969;39802;0.2505;hispanic;667676;1.4930894625536937;16.382853845066663;1.5290376290296492
Brooklyn;Nonwhite;93;39802;0.0023;nonwhite;1804400;0.005154067834183108;44.27480016960065;0.005194828641099534
Brooklyn;WHITE;5177;39802;0.1301;white;588704;0.8793893026036854;14.445107492265896;0.9006509648312225
