"","Rasa","srednia","wariancja","sd","ymin","ymax","Distinct"
"1","Asian",0.803845727945008,0.25212552387805,0.502121025130446,0.301724702814562,1.30596675307545,"Bronx"
"2","Asian",0.803845727945008,0.25212552387805,0.502121025130446,0.301724702814562,1.30596675307545,"Brooklyn"
"3","Asian",0.803845727945008,0.25212552387805,0.502121025130446,0.301724702814562,1.30596675307545,"Manhattan"
"4","Asian",0.803845727945008,0.25212552387805,0.502121025130446,0.301724702814562,1.30596675307545,"Queens"
"5","Asian",0.803845727945008,0.25212552387805,0.502121025130446,0.301724702814562,1.30596675307545,"Staten Island"
"6","BLACK",4.50786342877301,1.9444067856068,1.39441987421537,3.11344355455764,5.90228330298838,"Bronx"
"7","BLACK",4.50786342877301,1.9444067856068,1.39441987421537,3.11344355455764,5.90228330298838,"Brooklyn"
"8","BLACK",4.50786342877301,1.9444067856068,1.39441987421537,3.11344355455764,5.90228330298838,"Manhattan"
"9","BLACK",4.50786342877301,1.9444067856068,1.39441987421537,3.11344355455764,5.90228330298838,"Queens"
"10","BLACK",4.50786342877301,1.9444067856068,1.39441987421537,3.11344355455764,5.90228330298838,"Staten Island"
"11","Hispanic",2.04601551660786,0.275431841542146,0.524816007322706,1.52119950928515,2.57083152393056,"Bronx"
"12","Hispanic",2.04601551660786,0.275431841542146,0.524816007322706,1.52119950928515,2.57083152393056,"Brooklyn"
"13","Hispanic",2.04601551660786,0.275431841542146,0.524816007322706,1.52119950928515,2.57083152393056,"Manhattan"
"14","Hispanic",2.04601551660786,0.275431841542146,0.524816007322706,1.52119950928515,2.57083152393056,"Queens"
"15","Hispanic",2.04601551660786,0.275431841542146,0.524816007322706,1.52119950928515,2.57083152393056,"Staten Island"
"16","Nonwhite",0.0110529373095086,0.0000397511527078628,0.00630485152147636,0.00474808578803225,0.017357788830985,"Bronx"
"17","Nonwhite",0.0110529373095086,0.0000397511527078628,0.00630485152147636,0.00474808578803225,0.017357788830985,"Brooklyn"
"18","Nonwhite",0.0110529373095086,0.0000397511527078628,0.00630485152147636,0.00474808578803225,0.017357788830985,"Manhattan"
"19","Nonwhite",0.0110529373095086,0.0000397511527078628,0.00630485152147636,0.00474808578803225,0.017357788830985,"Queens"
"20","Nonwhite",0.0110529373095086,0.0000397511527078628,0.00630485152147636,0.00474808578803225,0.017357788830985,"Staten Island"
"21","WHITE",0.605989910101072,0.0423196811879621,0.205717479053099,0.400272431047973,0.811707389154171,"Bronx"
"22","WHITE",0.605989910101072,0.0423196811879621,0.205717479053099,0.400272431047973,0.811707389154171,"Brooklyn"
"23","WHITE",0.605989910101072,0.0423196811879621,0.205717479053099,0.400272431047973,0.811707389154171,"Manhattan"
"24","WHITE",0.605989910101072,0.0423196811879621,0.205717479053099,0.400272431047973,0.811707389154171,"Queens"
"25","WHITE",0.605989910101072,0.0423196811879621,0.205717479053099,0.400272431047973,0.811707389154171,"Staten Island"
