Distinct;perp_race;n;n1;%;perp_race_norm;count
Manhattan;Asian;1259;32746;0.0384;asian;317346
Manhattan;BLACK;16167;32746;0.49370000000000003;black;775735
Manhattan;Hispanic;11414;32746;0.3486;hispanic;509924
Manhattan;Nonwhite;108;32746;0.0033;nonwhite;1716924
Manhattan;WHITE;3798;32746;0.116;white;995436
