Distinct;perp_race;n;n1;X.;perp_race_norm;count;%%;%ofpop;indeks
Queens;Asian;3975;28386;0.14;asian;196957;2.0182070198063538;7.892976722657588;1.7737287834400406
Queens;BLACK;10640;28386;0.3748;black;201964;5.268265631498683;8.093630339692508;4.630802053831376
Queens;Hispanic;11105;28386;0.3912;hispanic;427297;2.5988949138421287;17.123764449404792;2.284544389499575
Queens;Nonwhite;161;28386;0.0057;nonwhite;889645;0.018097106149081936;35.652184367291895;0.015987800189963416
Queens;WHITE;2505;28386;0.0882;white;779482;0.3213672669798661;31.237444120953217;0.2823534462630311
